Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Feb 10, 2019;Feb 11, 2019;1,249,292.00;1,289,193.00;39,901.00;434,906.75
Feb 11, 2019;Feb 12, 2019;1,568,650.75;1,593,485.75;24,835.00;730,830.50
Feb 12, 2019;Feb 13, 2019;1,586,964.75;1,628,700.25;41,735.50;1,070,022.75
Feb 13, 2019;Feb 14, 2019;1,595,027.00;1,630,591.50;35,564.50;1,052,070.75
Feb 14, 2019;Feb 15, 2019;1,562,814.25;1,594,186.75;31,372.50;1,271,031.25
Feb 15, 2019;Feb 16, 2019;1,529,516.50;1,560,701.00;31,184.50;1,196,999.00
Feb 16, 2019;Feb 17, 2019;1,313,894.25;1,345,194.75;31,300.50;799,772.25
Feb 17, 2019;Feb 18, 2019;1,201,513.00;1,235,393.75;33,880.75;863,435.50
Feb 18, 2019;Feb 19, 2019;1,484,341.00;1,515,937.75;31,596.75;1,095,965.75
Feb 19, 2019;Feb 20, 2019;1,563,087.25;1,601,427.00;38,339.75;914,298.00
Feb 20, 2019;Feb 21, 2019;1,546,310.00;1,584,103.75;37,793.75;1,097,844.50
Feb 21, 2019;Feb 22, 2019;1,543,856.00;1,578,532.25;34,676.25;1,064,194.50
Feb 22, 2019;Feb 23, 2019;1,511,173.50;1,535,316.50;24,143.00;1,224,793.25
Feb 23, 2019;Feb 24, 2019;1,304,202.75;1,328,614.00;24,411.25;959,279.50
Feb 24, 2019;Feb 25, 2019;1,185,734.00;1,224,869.50;39,135.50;950,406.50
Feb 25, 2019;Feb 26, 2019;1,470,949.00;1,496,163.25;25,214.25;1,215,967.00
Feb 26, 2019;Feb 27, 2019;1,485,626.75;1,512,820.00;27,193.25;1,267,997.50
Feb 27, 2019;Feb 28, 2019;1,501,718.75;1,535,995.75;34,277.00;1,173,328.00
Feb 28, 2019;Mar 1, 2019;1,496,391.75;1,542,771.00;46,379.25;930,910.75
Mar 1, 2019;Mar 2, 2019;1,491,759.00;1,510,957.00;19,198.00;1,245,225.50
Mar 2, 2019;Mar 3, 2019;1,291,146.75;1,306,587.75;15,441.00;998,086.00
Mar 3, 2019;Mar 4, 2019;1,195,167.50;1,249,904.00;54,736.50;305,596.25
Mar 4, 2019;Mar 5, 2019;1,471,720.00;1,513,881.25;42,161.25;472,920.00
Mar 5, 2019;Mar 6, 2019;1,516,623.25;1,557,918.50;41,295.25;695,426.50
Mar 6, 2019;Mar 7, 2019;1,513,019.25;1,536,727.75;23,708.50;810,729.50
Mar 7, 2019;Mar 8, 2019;1,524,371.75;1,572,627.00;48,255.25;600,282.50
Mar 8, 2019;Mar 9, 2019;1,493,362.75;1,523,341.75;29,979.00;600,914.75
